id,title,content,category,keywords
CS001,이진 탐색 알고리즘,"이진 탐색은 정렬된 배열에서 특정 값을 찾는 알고리즘입니다. 중간값과 비교하여 찾는 값이 중간값보다 작으면 왼쪽, 크면 오른쪽을 검색합니다. 시간 복잡도는 O(log n)입니다. 구현 단계: 1) 중간 인덱스 계산 2) 중간값과 비교 3) 검색 범위 조정. 대용량 데이터, 데이터베이스 색인 등에서 활용됩니다.",알고리즘,"이진 탐색,정렬,시간 복잡도,O(log n)"
CS002,퀵 정렬,"퀵 정렬은 분할 정복 방식의 정렬 알고리즘입니다. 과정: 1) 피벗 선택 2) 피벗보다 작은 원소는 왼쪽, 큰 원소는 오른쪽으로 이동 3) 왼쪽과 오른쪽 부분에 재귀적 수행. 평균 시간 복잡도는 O(n log n)이지만, 최악의 경우 O(n²)입니다.",알고리즘,"퀵 정렬,분할 정복,피벗,시간 복잡도"
CS003,해시 테이블,"해시 테이블은 키-값 쌍을 저장하는 자료구조로, 평균 O(1) 시간에 데이터 접근이 가능합니다. 해시 함수로 키를 배열 인덱스로 변환합니다. 충돌은 체이닝이나 개방 주소법으로 해결합니다. 데이터베이스 인덱싱, 캐싱 등에 활용됩니다.",자료구조,"해시 테이블,해시 함수,충돌 해결,체이닝"
CS004,TCPIP 프로토콜,"TCPIP는 인터넷 통신의 기본 프로토콜 스택입니다. 4계층: 애플리케이션(HTTP, FTP), 전송(TCP, UDP), 인터넷(IP), 네트워크 인터페이스. TCP는 신뢰성 있는 데이터 전송, 3-way 핸드셰이크, 흐름 제어 등을 제공합니다. UDP는 신속성 중심, IP는 라우팅과 주소 지정을 담당합니다.",네트워크,"TCPIP,네트워크 계층,3-way 핸드셰이크"
CS005,프로세스와 스레드,"프로세스는 실행 중인 프로그램으로 독립된 메모리 공간을 가집니다. 스레드는 프로세스 내 실행 단위로 메모리를 공유합니다. 프로세스는 스택, 힙, 데이터, 코드 영역으로 구성되며, 다른 프로세스와는 IPC로 통신합니다. 스레드는 프로세스 자원을 공유하지만 각자 스택을 가집니다. 멀티프로세스는 안정성, 멀티스레드는 자원 효율성이 장점입니다.",운영체제,"프로세스,스레드,멀티태스킹,IPC"
CS006,SQL 기초,"SQL은 관계형 데이터베이스 관리 언어입니다. 주요 명령어: DDL(CREATE, ALTER, DROP), DML(SELECT, INSERT, UPDATE, DELETE), DCL(GRANT, REVOKE). SELECT 문은 FROM, WHERE, GROUP BY, ORDER BY 등을 포함합니다. JOIN은 테이블 결합(INNER, LEFT, RIGHT, FULL)에 사용됩니다. 트랜잭션은 ACID 속성을 보장합니다.",데이터베이스,"SQL,관계형 데이터베이스,쿼리,JOIN"
CS007,REST API,"REST는 HTTP 기반 웹 서비스 아키텍처로, 클라이언트-서버, 상태 비저장, 캐시 가능, 계층화 등의 원칙을 따릅니다. 리소스를 URI로 표현하고 HTTP 메서드(GET, POST, PUT, DELETE)로 조작합니다. 응답은 주로 JSON 형식이며, Richardson 성숙도 모델로 평가됩니다.",웹 개발,"REST,API,HTTP 메서드,리소스"
CS008,객체지향 프로그래밍,"객체지향 프로그래밍(OOP)은 데이터와 기능을 객체로 관리하는 패러다임입니다. 4대 원칙: 캡슐화(정보 은닉), 상속(코드 재사용), 다형성(다양한 동작), 추상화(공통 특성 추출). 클래스는 객체의 청사진이며, SOLID 원칙(단일 책임, 개방-폐쇄 등)은 설계 지침입니다.",프로그래밍 패러다임,"OOP,객체,클래스,캡슐화,상속"
CS009,빅오 표기법,"빅오는 알고리즘 복잡도를 표현하는 방법으로, 입력 크기에 따른 성능 변화를 나타냅니다. 주요 표기: O(1)(상수 시간), O(log n)(로그 시간), O(n)(선형 시간), O(n log n)(선형 로그 시간), O(n²)(이차 시간), O(2^n)(지수 시간). 알고리즘 선택과 최적화에 중요한 기준입니다.",알고리즘,"빅오,시간 복잡도,알고리즘 효율성"
CS010,디자인 패턴,"디자인 패턴은 소프트웨어 개발의 재사용 가능한 해결책입니다. 3가지 범주: 생성 패턴(싱글톤, 팩토리 등), 구조 패턴(어댑터, 데코레이터 등), 행위 패턴(옵저버, 전략 등). 적절한 패턴 사용은 코드의 재사용성, 확장성, 유지보수성을 향상시킵니다.",소프트웨어 설계,"디자인 패턴,생성 패턴,구조 패턴,행위 패턴"
